,LastUpdate,Country,Category,Indicator (text in app),Cod.Category,Cod.Indicator,value,comment
10,2020-10-26 13:10:00,BGR,Travel,May I enter this country without a medical certificate or a negative test?,2,11,,"<p>Citizens of EU Member States + Schengen Associated countries and their family members are allowed to enter Bulgaria without restrictions.</p><p>Full details are available in the <a href=""https://coronavirus.bg/bg/538"" target=""_blank"" rel=""noopener"">Order № RD-01-547 of 30.09.2020 for temporary ban on entry into the territory of the Republic of Bulgaria</a> (in Bulgarian)</p><p>All persons who are allowed entry into the country, and who arrive from a starting point in a country outside the above mentioned list, shall be admitted in Bulgaria only after providing a document showing a negative PCR result for COVID-19 conducted within 72 hours before entering the country. This certificate shall contain the name of the person according to the identity document with which he is travelling, information on the laboratory carrying out the test (name, address or other contact details), date on which the examination was carried out, written in the Latin method and allowing interpretation of the document.</p><p>Bulgarian citizens, as well as long-term and permanent residents in Bulgaria and the members of their families who come from countries for which a negative PCR test is required, and who do not present such a test, are subject to 14 days of quarantine.</p><p>&nbsp;</p>"
11,2020-10-22 09:27:00,BGR,Health & Safety,Are there any risk areas under lockdown in this country?,4,1,N,
12,2020-11-11 13:32:00,BGR,Travel,May I enter this country without being subject to a mandatory quarantine?,2,10,,"<p>Citizens of EU Member States + Schengen Associated countries and their family members are allowed to enter Bulgaria without restrictions.</p><p>Full details are available in the <a href=""https://coronavirus.bg/bg/538"" target=""_blank"" rel=""noopener"">Order № RD-01-547 of 30.09.2020 for temporary ban on entry into the territory of the Republic of Bulgaria</a> (in Bulgarian)</p><p>All persons who are allowed entry into the country, and who arrive from a starting point in a country outside the above mentioned list, shall be admitted in Bulgaria only after providing a document showing a negative PCR result for COVID-19 conducted within 72 hours before entering the country. This certificate shall contain the name of the person according to the identity document with which he is travelling, information on the laboratory carrying out the test (name, address or other contact details), date on which the examination was carried out, written in the Latin method and allowing interpretation of the document.</p><p>Bulgarian citizens, as well as long-term and permanent residents in Bulgaria and the members of their families who come from countries for which a negative PCR test is required, and who do not present such a test, are subject to 14 days of quarantine.</p><p>&nbsp;</p>"
13,2020-10-29 09:32:00,BGR,Info,Restrictions on the provision of tourist services at national or sub-national/regional level,1,9,,Tourism resumes on 15 June 2020. The extraordinary epidemic situation is prolonged until 30 September 2020.
14,2021-05-06 09:33:00,BGR,Info,National website with coronavirus related information for TOURISM,1,5,,"<p><a href=""http://www.tourism.government.bg/bg/taxonomy/term/204"" target=""_blank"" rel=""noopener"">Tourism Bulgaria</a> (in Bulgarian)</p><p><a href=""http://www.tourism.government.bg/en/kategorii/covid-19"" target=""_blank"" rel=""noopener"">Tourism Bulgaria</a> (in English)</p><p><a href=""https://bulgariatravel.org/en/useful/practical-information-for-tourists-in-the-covid-19/"" target=""_blank"" rel=""noopener"">Bulgaria travel</a> (available in English, German, Russian and Bulgarian)</p>"
15,2021-05-06 09:33:00,HRV,Travel,"From within the EU/EEA, may I enter or exit this country for tourism? ",2,2,WL,"<p class=""border"">Croatia applies the commonly agreed EU ""Traffic Lights"" approach to travel restrictions from/to the EU Member States and Schengen Associated Countries.</p><p>&nbsp;</p><p><strong>Arriving from countries or regions classified as ""green""</strong></p><p>Travellers - regardless of their citizenship - arriving from EU Member States or Schengen Associated countries / regions classified as ""<strong>green</strong>"" can enter Croatia without being subject to any isolation or test requirement.</p><p>For these travellers, testing and quarantine are not required also in case of transit through high-risk countries or regions.</p><p>&nbsp;</p><p><strong>Arriving from countries or regions NOT classified as ""green""</strong></p><p>Travellers - regardless of their citizenship - arriving from EU Member States or Schengen Associated countries / regions NOT classified as ""<strong>green</strong>"" can enter Croatia without being subject to any isolation or test requirement in the following cases:</p><ul><li><strong>Full vaccination</strong><br />A vaccination certificate, proving that the second dose of COVID-19 vaccine (or single dose for Johnson &amp; Johnson) was received more than 14 days before crossing the state border, must be presented;</li><li><strong>Recovery from COVID-19 in the last 6 months<br /></strong>A Positive result to a COVID-19 test (PCR or <a href=""https://mup.gov.hr/uzg-covid/english/286212#BAT"" target=""_blank"">rapid antigen test</a>) performed in the previous 180 days and<strong> older than 11 days</strong> from the date of arrival at the border crossing point, or a certificate issued by a physician confirming that the holder has recovered from the SARS-CoV-2 virus infection, must be presented.<br />If a person has recovered from COVID-19 and has a medical certificate or a positive test, and has been vaccinated with at least one dose of vaccine after recovery, the exemption from testing and isolation is extended until <strong>5 months after vaccination</strong>.</li></ul><p>It is required that travellers show no signs of COVID-19 disease and that they have not been in close contact with an infected person.</p><p>All other travellers aged above 7 have to provide a <strong>negative COVID-19 test </strong>(PCR or <a href=""https://mup.gov.hr/uzg-covid/english/286212#BAT"" target=""_blank"">rapid antigen test - RAT</a>). <br />The RAT test, to be valid, must be listed in the <a href=""https://ec.europa.eu/health/sites/health/files/preparedness_response/docs/covid-19_rat_common-list_en.pdf"" target=""_blank"">common list of rapid antigen tests recognised by the Member States of the European Union</a>). If the RAT test was made abroad, the manufacturer and/or the commercial name of the test must be visible, and the test must be issued by a health institution / laboratory and signed / confirmed by a doctor. The results of the above tests <strong>must not be older than 48 hours</strong> (counting from the time of taking the swab to arriving at the border crossing point).</p><p>In lack of a valid COVID-19 test, travellers will have to immediately perform, upon arrival in Croatia, a PCR or rapid antigen test at their own expenses, with the obligation to stay in <strong>self-isolation until a negative test result</strong>. If testing cannot be performed, a <strong>10-day quarantine</strong> is imposed.</p><p>Some categories of people are <a href=""https://mup.gov.hr/uzg-covid/english/286212"" target=""_blank"">exempt</a> from previously mentioned requirements.</p><p>&nbsp;</p><p><strong>Provisions for people applying for residency/work in Croatia</strong></p><p>Persons who, following their application for residence / work in Croatia (including digital nomads), have received a positive decision of the competent authority, are obliged to present credible documentation upon entering Croatia to prove the reasons for their exemption to COVID-19 testing or isolation. During their stay in Croatia, they are obliged to follow the general and special recommendations and instructions of the Croatian Institute of Public Health.</p><p>Find out more:<br /><a href=""https://mup.gov.hr/aliens-281621/stay-and-work/temporary-stay-of-digital-nomads/286833"" target=""_blank"">Request for temporary stay</a><br /><a href=""https://croatia.hr/en-GB/travel-info/croatia-your-new-office"" target=""_blank"">Croatia &ndash; your new office</a></p><p>&nbsp;</p><p><strong>Mandatory Travel Documentation</strong></p><p>For a faster border crossing, it is recommended to fill out the form at <a href=""https://entercroatia.mup.hr/"" target=""_blank"">ENTERCROATIA</a> prior to departure.</p><p>&nbsp;</p><p><strong>Find out more:<br /></strong><a href=""https://mup.gov.hr/uzg-covid/english/286212"" target=""_blank"">Conditions of entry into the Republic of Croatia</a><br /><a href=""https://www.koronavirus.hr/en"" target=""_blank"">Koronavirus.hr</a><br /><a href=""https://mup.gov.hr/en"" target=""_blank"" rel=""noopener"">Ministry of the Interior</a></p>"
16,2020-11-10 11:38:00,HRV,Travel,May I enter this country without a medical certificate or a negative test?,2,11,,"Third-country nationals are not subject to a 14 day quarantine / self-isolation measure if they present a negative PCR result of a nasal and throat swab for SARS-Cov-2 at the border crossing point, which is not older than 48 hours (counting from the time of taking the swab to arriving at the border crossing point). If third-country nationals have a test older than 48 hours when entering Croatia, they will be allowed to enter Croatia, however, they will be obligated to self-isolate and re-test themselves in Croatia at their own expense. Persons who do not present a negative PCR result are subject to a mandatory 14-day quarantine / self-isolation measure."
17,2020-10-29 09:32:00,HRV,Health & Safety,Are there any risk areas under lockdown in this country?,4,1,,"For daily updated status on coronavirus in Croatia please visit: <a href=""https://www.koronavirus.hr/en"">www.koronavirus.hr</a>"
18,2020-11-10 11:38:00,HRV,Travel,May I enter this country without being subject to a mandatory quarantine?,2,10,,"Third-country nationals who do not present a negative PCR result of a nasal and throat swab for SARS-Cov-2 at the border crossing point, which is not older than 48 hours, are subject to a 14 day quarantine. "
19,2021-05-06 09:33:00,HRV,Info,National website with coronavirus related information for TOURISM,1,5,,"<p><a href=""https://croatia.hr/en-GB/coronavirus-2019-ncov-q-and-a"" target=""_blank"">CROATIA.HR</a><br /><a href=""https://www.safestayincroatia.hr/en"" target=""_blank"">SAFESTAYINCROATIA.HR</a> (safety measures for various tourist services)</p>"
20,2021-05-06 09:33:00,CYP,Travel,"From within the EU/EEA, may I enter or exit this country for tourism? ",2,2,WL,"<p class=""border"">Cyprus implements a traffic light system of high, medium and low-risk countries. It is based on the data and criteria communicated every Thursday by the European Centre for Disease Prevention and Control (ECDC). Each country is given a colour code <strong>(red, orange, green, gray)</strong>. The measures applicable to travel to Cyprus depend on the <a href=""https://cyprusflightpass.gov.cy/en/country-categories"" target=""_blank"">colour code assigned to each country</a>.</p><p class=""border"">&nbsp;</p><p><strong>Arriving from countries classified as ""green""</strong></p><p>Travellers arriving from countries classified as ""<strong>green</strong>"" can enter Cyprus without being subject to any isolation or test requirement.</p><p>For these travellers, testing and quarantine are not required also in case of transit through high-risk countries, provided that no overnight stay has taken place (as well as no stay has taken place in such countries in the last 14 days).</p><p>&nbsp;</p><p><strong>Arriving from countries NOT classified as ""green""</strong></p><p>Travellers arriving from countries NOT classified as ""<strong>green</strong>"" can enter Cyprus without being subject to any isolation or test requirement in case they have been <strong>fully vaccinated </strong>in <strong>Cyprus</strong>, <strong>Israel</strong> or the <strong>United Kingdom</strong>.</p><p>These passengers, holding a valid vaccination certificate from the countries referred above, regardless of their nationality, will be able to travel to the Republic of Cyprus from any country independently of its category (green, orange, red or grey) without being subject to any isolation or test requirement. A <a href=""https://cyprusflightpass.gov.cy/en/vaccinated-fly-request"" target=""_blank"">dedicated form</a> must be filled in within 24 hours before the last departure flight to the Republic of Cyprus.</p><p>Full information for vaccinated travellers is available at <a href=""https://cyprusflightpass.gov.cy/en/vaccinated-passengers"" target=""_blank"">Cyprus Flight Pass - Vaccinated Passengers</a></p><p>All other travellers arriving from countries classified as ""orange"" or ""red"" are subject to the requirement for a <strong>pre-departure negative PCR test</strong>. The test must be taken within <strong>72 hours prior to arrival</strong>.</p><p>Additionally, travellers from countries classified as ""red"" are subject to a <strong>second test upon their arrival</strong>, at their own expenses.</p><p>The following categories may opt to be tested upon arrival in Cyprus only (at their own expenses):</p><ol><li>Cypriot citizens and their family members (spouses, underage children and parents);</li><li>Persons legally residing in Cyprus;</li><li>Persons entitled to enter the Republic under the Vienna Convention;</li><li>Persons from countries classified as ""orange"", irrespective of their nationality, whose country of residence does not provide a laboratory testing service.</li></ol><p>Travellers from countries classified as ""orange"" or ""red"" shall remain in mandatory self-isolation until they receive the test result. People arriving from ""red"" countries falling under categories 1-3 above must remain in self-isolation for 72 hours and, after that, they must undergo a second PCR test at their own expenses. If the last test is negative, isolation is ended.</p><p>Travellers from countries classified as ""gray"" must complete a compulsory self-isolation of 14 days. Self-isolation may be shortened by taking a PCR test on day 7 of the isolation period.</p><p>The test result must be sent to the following email address: <a href=""mailto:monada@mphs.moh.gov.cy"">monada@mphs.moh.gov.cy</a></p><p>All travellers who test positive will be placed in compulsory confinement for <strong>14 days</strong>.</p><p>&nbsp;</p><p><strong>Mandatory Travel Documentation</strong></p><p>All passengers have to submit, within 24 hours before starting their journey, all the information and documents required to obtain the <a href=""https://www.cyprusflightpass.gov.cy/"" target=""_blank"" rel=""noopener"">CyprusFlightPass</a>.</p><p>The download forms for passengers travelling to Cyprus can be found at <a href=""https://cyprusflightpass.gov.cy/en/download-forms"" target=""_blank"" rel=""noopener"">https://cyprusflightpass.gov.cy/en/download-forms</a></p><p>&nbsp;</p><p><strong>Find out more:<br /></strong><a href=""https://cyprusflightpass.gov.cy/en/country-categories"" target=""_blank"" rel=""noopener"">Updated information on Country Categories</a><br /><a href=""https://www.pio.gov.cy/coronavirus/uploads/03052021_epidemiological_assessmentEN.pdf"" target=""_blank"" rel=""noopener"">Epidemiological risk assessment (03/05/2021)</a></p><p>&nbsp;</p><p><strong>Contact point for Cyprus:<br /></strong>A Covid-19 call centre is available from Monday to Sunday (8:00 - 20:00) at 1474. This service provides direct, timely and comprehensive information regarding all governmental initiatives related to COVID-19.</p>"
21,2020-10-23 11:40:00,CYP,Travel,May I enter this country without a medical certificate or a negative test?,2,11,WL,
22,2020-11-04 22:05:00,CYP,Health & Safety,Are there any risk areas under lockdown in this country?,4,1,,"<p>Stricter rules are in place in the <strong>District of Limassol </strong>and <strong>Paphos,</strong>&nbsp;where:&nbsp;</p><p>- catering establishments (restaurants, bars, caf&eacute;s, etc.) have to close at <strong>10.30 pm</strong>;</p><p>- the movement of citizens is banned from<strong>&nbsp;11 pm to 5 am, </strong>exluding movements for emergency and work reasons, provided that a certification or documentation is presented;</p><p>- <strong>afternoon sports</strong> and social activities for children under the age of 18 are suspended;</p><p>- <strong>championship matches</strong> for athlets under the age of 18 are suspended.&nbsp;&nbsp;</p><p><strong>Find out more:&nbsp;</strong></p><p><a href=""https://www.pio.gov.cy/coronavirus/uploads/17102020_ENmetra.pdf"" target=""_blank"" rel=""noopener"">COVID-19 measures</a></p>"
